success_rate,gross_savings,total_cost,net_savings,roi,annual_net_savings
0.1,2147.9212121212117,9000,-6852.078787878789,-0.7613420875420877,-82224.94545454546
0.2,4295.8424242424235,9000,-4704.1575757575765,-0.5226841750841752,-56449.890909090915
0.3,6443.763636363635,9000,-2556.2363636363652,-0.2840262626262628,-30674.836363636383
0.4,8591.684848484847,9000,-408.31515151515305,-0.045368350168350335,-4899.781818181837
