success_rate,gross_savings,total_cost,net_savings,roi,annual_net_savings
0.1,7425.0,9000,-1575.0,-0.18,-18900.0
0.2,14850.0,9000,5850.0,0.65,70200.0
0.3,22275.0,9000,13275.0,1.48,159300.0
0.4,29700.0,9000,20700.0,2.3,248400.0
